Player,Team,Rookie,Rating,GP,MPG,PPG,RPG,APG,FG %,FT %
Patty Mills, SA,0,29.71,15,20.5,10.1,2.2,1.5,41.9,90
Justin Holiday, GS,0,29.68,29,11.6,4.8,1.2,0.9,42.1,73.9
Alexey Shved, HOU,0,29.62,26,13.2,7.6,1,1.9,39,83.8
Ray Jr. McCallum, SAC,0,29.61,30,13.9,4.2,1.8,1.4,40.8,62.5
Joey Dorsey, HOU,0,29.53,35,11.3,2,3.8,0.3,50.9,30
Udonis Haslem, MIA,0,29.14,31,14,3.5,3.8,0.6,44.4,65.5
Joe Harris, CLE ,1,28.74,35,11.1,2.8,0.8,0.6,39.8,62.5
Isaiah Canaan, HOU,0,28.39,23,15.6,6.7,1.4,1.3,42.7,76.2
CJ McCollum, POR,0,27.96,31,12.1,4.5,0.8,0.8,38.1,65.5
DeWayne Dedmon, ORL,0,27.5,31,11.6,3.3,4.2,0.2,51.9,58.1
Phil Pressey, BOS,0,27.27,28,12.3,3.5,1.5,2.2,36.2,73.9
Rodney Hood, UTA ,1,26.94,24,18.2,5.2,2.5,1.2,31.7,70.3
Thomas Robinson, POR,0,26.4,28,12.3,3.8,4.3,0.3,51.9,43.8
Troy Daniels, MIN,0,26.36,33,7.7,3,0.8,0.5,32.4,83.3
Jimmer Fredette, NO,0,26.21,30,10.8,3.7,0.7,1.1,38.3,92
Dorell Wright, POR,0,26.06,25,11.8,4.2,2.2,1,37.5,79.3
Jordan Clarkson, LAL ,1,25.77,24,14.5,5.8,1.6,1,39.3,78.7
Charlie Villanueva, DAL,0,25.28,29,7.9,5,1.8,0.2,44.4,80
Ryan Hollins, SAC,0,25.2,27,9.3,2.7,2.3,0.3,61.4,64.5
Greg Smith, DAL,0,25.16,30,8.9,2.1,2.1,0.2,63.9,53.3
Jeff Ayres, SA,0,25.13,28,8.8,2.9,2.4,0.4,54.4,85.7
Mike Miller, CLE,0,24.83,32,16.6,2.7,2.1,1.1,34.5,0
Hedo Turkoglu, LAC,0,24.55,28,9.5,2.6,1.2,0.5,50,50
Jason Maxiell, CHA,0,24.38,29,13.9,3,2.6,0.2,39.3,55.6
Kyle Anderson, SA ,1,24.07,27,12.6,2.6,2.5,1,35.8,64.3
Josh McRoberts, MIA,0,24.03,17,17.4,4.2,2.6,1.9,52.8,61.5
Willie Green, ORL,0,23.86,27,14.9,3.9,1.2,1.1,33.1,83.3
Festus Ezeli, GS,0,23.13,21,11.7,4.3,3,0.2,56.2,61.3
Aaron Gordon, ORL ,1,23.08,16,15.2,6.1,2.9,0.6,58.7,63
Reggie Bullock, PHO,0,22.94,26,10.2,2.5,1.5,0.2,41.8,80
James Jones, CLE,0,22.76,25,10.4,3.8,1.2,0.5,34.6,93.3
E'Twaun Moore, CHI,0,21.33,29,8.1,2.2,0.9,0.6,42.6,50
Randy Foye, DEN,0,21.13,17,16.3,6.1,1,1.6,32.7,81
Nick Calathes, MEM,0,21.08,22,11.7,3.5,1.3,2.2,44.2,46.2
Landry Fields, TOR,0,20.61,15,12.6,2.8,1.5,0.9,52.9,83.3
Maurice Harkless, ORL,0,20.35,22,14.5,3.3,2.2,0.7,40.8,68.8
Will Barton, POR,0,20.24,24,10.4,3.2,1.1,1,39,66.7
Elijah Millsap, UTA ,1,20.22,11,20.5,5.5,2.4,1.2,32.3,81.8
Dwight Powell, DAL ,1,19.53,18,8.6,3.3,1.7,0.4,58.8,73.9
JaVale McGee, DEN,0,18.88,14,11.6,5.4,3,0,58,68
Drew Gooden, WAS,0,18.81,22,11.9,3.5,2.4,0.6,39,58.3
Cory Jefferson, BKN ,1,18.38,21,10,3.6,2.4,0.4,41.1,59.1
Furkan Aldemir, PHI ,1,18.24,18,11.4,1.5,4.3,0.5,46.2,75
Justin Hamilton, MIA,0,18.24,19,13.3,2.8,2.2,0.3,39.7,80
Ryan Kelly, LAL,0,18.13,16,17.2,3.8,3,0.7,32.1,78.3
Mike Muscala, ATL,0,18.03,15,8.8,4.2,2.3,0.3,53.1,90.9
Joel Anthony, DET,0,17.14,24,6.5,1.2,1.5,0.1,57.1,57.1
Ish Smith, OKC,0,16.28,26,5.4,1.4,1,1,35.7,66.7
Gary Harris, DEN ,1,16.23,20,13,3.4,1.3,0.6,25.9,66.7
Cleanthony Early, NY ,1,16.11,14,14,4.7,1.7,0.8,37.9,50
John Salmons, NO,0,15.99,20,13.1,2.1,1,0.6,34,50
Elton Brand, ATL,0,15.94,16,12.6,3.1,3,0.5,46.8,46.2
